molecule_chembl_id,canonical_smiles,standard_relation,standard_value,standard_units,standard_type,assay_id,doc_id
CHEMBL369176,CCCCCNC(=O)[C@H](Cc1ccc(OCC(=O)O)c(C(=O)O)c1)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)OC(C)(C)C,=,81,%,Inhibition,162268,6156
CHEMBL369176,CCCCCNC(=O)[C@H](Cc1ccc(OCC(=O)O)c(C(=O)O)c1)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)OC(C)(C)C,=,32,%,Inhibition,162267,6156
CHEMBL173080,CCCCCNC(=O)[C@H](Cc1ccc(OCC(=O)O)c(C(=O)O)c1)NC(=O)[C@H](C)NC(=O)OC(C)(C)C,=,43,%,Inhibition,162268,6156
CHEMBL173080,CCCCCNC(=O)[C@H](Cc1ccc(OCC(=O)O)c(C(=O)O)c1)NC(=O)[C@H](C)NC(=O)OC(C)(C)C,=,8,%,Inhibition,162267,6156
CHEMBL414653,CCCCCNC(=O)[C@H](Cc1ccc(OC(C(=O)O)C(=O)O)cc1)NC(=O)[C@H](Cc1c(F)c(F)c(F)c(F)c1F)NC(=O)OC(C)(C)C,=,80,%,Inhibition,162269,6156
CHEMBL414653,CCCCCNC(=O)[C@H](Cc1ccc(OC(C(=O)O)C(=O)O)cc1)NC(=O)[C@H](Cc1c(F)c(F)c(F)c(F)c1F)NC(=O)OC(C)(C)C,=,25,%,Inhibition,162268,6156
CHEMBL414653,CCCCCNC(=O)[C@H](Cc1ccc(OC(C(=O)O)C(=O)O)cc1)NC(=O)[C@H](Cc1c(F)c(F)c(F)c(F)c1F)NC(=O)OC(C)(C)C,=,5,%,Inhibition,162267,6156
CHEMBL409235,CCCCCNC(=O)[C@H](Cc1ccc(OC(C(=O)O)C(=O)O)cc1)NC(=O)[C@H](Cc1ccccc1)NS(C)(=O)=O,=,86,%,Inhibition,162269,6156
CHEMBL409235,CCCCCNC(=O)[C@H](Cc1ccc(OC(C(=O)O)C(=O)O)cc1)NC(=O)[C@H](Cc1ccccc1)NS(C)(=O)=O,=,40,%,Inhibition,162268,6156
CHEMBL409235,CCCCCNC(=O)[C@H](Cc1ccc(OC(C(=O)O)C(=O)O)cc1)NC(=O)[C@H](Cc1ccccc1)NS(C)(=O)=O,=,9,%,Inhibition,162267,6156
CHEMBL176339,CCCCCNC(=O)[C@H](Cc1ccc(OC(C(=O)O)C(=O)O)cc1)NC(=O)[C@H](CCSC)NC(=O)OC(C)(C)C,=,82,%,Inhibition,162269,6156
CHEMBL176339,CCCCCNC(=O)[C@H](Cc1ccc(OC(C(=O)O)C(=O)O)cc1)NC(=O)[C@H](CCSC)NC(=O)OC(C)(C)C,=,25,%,Inhibition,162268,6156
CHEMBL176339,CCCCCNC(=O)[C@H](Cc1ccc(OC(C(=O)O)C(=O)O)cc1)NC(=O)[C@H](CCSC)NC(=O)OC(C)(C)C,=,5,%,Inhibition,162267,6156
CHEMBL368580,CCCCCNC(=O)[C@H](Cc1ccc(OC(C(=O)O)C(=O)O)cc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)CCNC(=O)OC(C)(C)C,=,93,%,Inhibition,162269,6156
CHEMBL368580,CCCCCNC(=O)[C@H](Cc1ccc(OC(C(=O)O)C(=O)O)cc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)CCNC(=O)OC(C)(C)C,=,62,%,Inhibition,162268,6156
CHEMBL368580,CCCCCNC(=O)[C@H](Cc1ccc(OC(C(=O)O)C(=O)O)cc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)CCNC(=O)OC(C)(C)C,=,14,%,Inhibition,162267,6156
CHEMBL172428,CCCCCNC(=O)[C@H](Cc1ccc(OCC(=O)O)c(C(=O)O)c1)NC(=O)[C@H](CO)NC(=O)OC(C)(C)C,=,41,%,Inhibition,162268,6156
CHEMBL172428,CCCCCNC(=O)[C@H](Cc1ccc(OCC(=O)O)c(C(=O)O)c1)NC(=O)[C@H](CO)NC(=O)OC(C)(C)C,=,11,%,Inhibition,162267,6156
CHEMBL173588,CCCCCNC(=O)[C@H](Cc1ccc(OC(C(=O)O)C(=O)O)cc1)NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C,=,72,%,Inhibition,162269,6156
CHEMBL173588,CCCCCNC(=O)[C@H](Cc1ccc(OC(C(=O)O)C(=O)O)cc1)NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C,=,18,%,Inhibition,162268,6156
CHEMBL173588,CCCCCNC(=O)[C@H](Cc1ccc(OC(C(=O)O)C(=O)O)cc1)NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C,=,3,%,Inhibition,162267,6156
CHEMBL172317,CCCCCNC(=O)[C@H](Cc1ccc(OCC(=O)O)c(C(=O)O)c1)NC(=O)[C@H](Cc1ccccc1)NC(=O)CCOC,=,83,%,Inhibition,162268,6156
CHEMBL172317,CCCCCNC(=O)[C@H](Cc1ccc(OCC(=O)O)c(C(=O)O)c1)NC(=O)[C@H](Cc1ccccc1)NC(=O)CCOC,=,37,%,Inhibition,162267,6156
CHEMBL176453,CCCCCNC(=O)[C@H](Cc1ccc(OC(C(=O)O)C(=O)O)cc1)NC(=O)[C@H](Cc1ccc2ccccc2c1)NC(=O)OC(C)(C)C,=,90,%,Inhibition,162269,6156
CHEMBL176453,CCCCCNC(=O)[C@H](Cc1ccc(OC(C(=O)O)C(=O)O)cc1)NC(=O)[C@H](Cc1ccc2ccccc2c1)NC(=O)OC(C)(C)C,=,29,%,Inhibition,162268,6156
CHEMBL176453,CCCCCNC(=O)[C@H](Cc1ccc(OC(C(=O)O)C(=O)O)cc1)NC(=O)[C@H](Cc1ccc2ccccc2c1)NC(=O)OC(C)(C)C,=,3,%,Inhibition,162267,6156
CHEMBL176527,CCCCCNC(=O)[C@H](Cc1ccc(OC(C(=O)O)C(=O)O)cc1)NC(=O)[C@H](CC1CCCCC1)NC(=O)OC(C)(C)C,=,88,%,Inhibition,162269,6156
CHEMBL176527,CCCCCNC(=O)[C@H](Cc1ccc(OC(C(=O)O)C(=O)O)cc1)NC(=O)[C@H](CC1CCCCC1)NC(=O)OC(C)(C)C,=,18,%,Inhibition,162268,6156
CHEMBL176527,CCCCCNC(=O)[C@H](Cc1ccc(OC(C(=O)O)C(=O)O)cc1)NC(=O)[C@H](CC1CCCCC1)NC(=O)OC(C)(C)C,=,1,%,Inhibition,162267,6156
CHEMBL299120,CCCCCNC(=O)[C@H](Cc1ccc(OCC(=O)O)c(C(=O)O)c1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C,=,78,%,Inhibition,162268,6156
CHEMBL299120,CCCCCNC(=O)[C@H](Cc1ccc(OCC(=O)O)c(C(=O)O)c1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C,=,30,%,Inhibition,162267,6156
CHEMBL366630,CCCCCCCCCCCCCCCCCC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccc(OCC(=O)O)c(C(=O)O)c1)C(=O)NCCCCC,=,3,%,Inhibition,162268,6156
CHEMBL366630,CCCCCCCCCCCCCCCCCC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccc(OCC(=O)O)c(C(=O)O)c1)C(=O)NCCCCC,=,1,%,Inhibition,162267,6156
CHEMBL172955,CCCCCNC(=O)[C@H](Cc1ccc(OCC(=O)O)c(C(=O)O)c1)NC(=O)[C@H](Cc1ccccc1)NC(=O)CCNS(C)(=O)=O,=,73,%,Inhibition,162268,6156
CHEMBL172955,CCCCCNC(=O)[C@H](Cc1ccc(OCC(=O)O)c(C(=O)O)c1)NC(=O)[C@H](Cc1ccccc1)NC(=O)CCNS(C)(=O)=O,=,15,%,Inhibition,162267,6156
CHEMBL177133,CCCCCNC(=O)[C@H](Cc1ccc(OCC(=O)O)c(C(=O)O)c1)NC(=O)[C@H](Cc1ccccn1)NC(=O)OC(C)(C)C,=,50,%,Inhibition,162268,6156
CHEMBL177133,CCCCCNC(=O)[C@H](Cc1ccc(OCC(=O)O)c(C(=O)O)c1)NC(=O)[C@H](Cc1ccccn1)NC(=O)OC(C)(C)C,=,10,%,Inhibition,162267,6156
CHEMBL171968,CCCCCNC(=O)[C@H](Cc1ccc(OC(C(=O)O)C(=O)O)cc1)NC(=O)[C@H](CC(N)=O)NC(=O)OC(C)(C)C,=,85,%,Inhibition,162269,6156
CHEMBL171968,CCCCCNC(=O)[C@H](Cc1ccc(OC(C(=O)O)C(=O)O)cc1)NC(=O)[C@H](CC(N)=O)NC(=O)OC(C)(C)C,=,40,%,Inhibition,162268,6156
CHEMBL171968,CCCCCNC(=O)[C@H](Cc1ccc(OC(C(=O)O)C(=O)O)cc1)NC(=O)[C@H](CC(N)=O)NC(=O)OC(C)(C)C,=,9,%,Inhibition,162267,6156
